Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.24211	45	1	0	LastDelay	0.0373314	37331.4	1	4
1.24211	45	1	0	FullDelay	0.0373314	37331.4	1	4
1.4461	45	1	1	LastDelay	0.0413229	41322.9	1	4
1.4461	45	1	1	FullDelay	0.0413229	41322.9	1	4
1.64396	45	1	2	LastDelay	0.0391869	39186.9	1	4
1.64396	45	1	2	FullDelay	0.0391869	39186.9	1	4
1.85418	45	1	3	LastDelay	0.0493992	49399.2	1	4
1.85418	45	1	3	FullDelay	0.0493992	49399.2	1	4
2.04083	45	1	4	LastDelay	0.0360584	36058.4	1	3
2.04083	45	1	4	FullDelay	0.0360584	36058.4	1	3
2.2413	45	1	5	LastDelay	0.0365278	36527.8	1	3
2.2413	45	1	5	FullDelay	0.0365278	36527.8	1	3
2.44617	45	1	6	LastDelay	0.0413922	41392.2	1	3
2.44617	45	1	6	FullDelay	0.0413922	41392.2	1	3
2.63792	69	1	0	LastDelay	0.0491404	49140.4	1	11
2.63792	69	1	0	FullDelay	0.0491404	49140.4	1	11
2.64281	45	1	7	LastDelay	0.0380309	38030.9	1	3
2.64281	45	1	7	FullDelay	0.0380309	38030.9	1	3
2.65243	53	1	3	LastDelay	0.167492	167492	1	5
2.65243	53	1	3	FullDelay	0.167492	167492	1	5
2.7398	61	1	2	LastDelay	0.0343555	34355.5	1	4
2.7398	61	1	2	FullDelay	0.0343555	34355.5	1	4
2.83453	61	1	0	LastDelay	0.529085	529085	1	5
2.83453	61	1	0	FullDelay	0.529085	529085	1	5
2.85953	49	1	0	LastDelay	0.130649	130649	1	9
2.85953	49	1	0	FullDelay	0.130649	130649	1	9
2.9083	53	1	0	LastDelay	1.02336	1.02336e+06	1	4
2.9083	53	1	0	FullDelay	1.02336	1.02336e+06	1	4
2.91454	65	1	0	LastDelay	0.0407421	40742.1	1	6
2.91454	65	1	0	FullDelay	0.0407421	40742.1	1	6
3.04325	69	1	2	LastDelay	0.05447	54470	1	12
3.04325	69	1	2	FullDelay	0.05447	54470	1	12
3.05494	45	1	9	LastDelay	0.050167	50167.1	1	4
3.05494	45	1	9	FullDelay	0.050167	50167.1	1	4
3.11639	65	1	1	LastDelay	0.0425978	42597.8	1	4
3.11639	65	1	1	FullDelay	0.0425978	42597.8	1	4
3.12319	53	1	1	LastDelay	1.03825	1.03825e+06	1	5
3.12319	53	1	1	FullDelay	1.03825	1.03825e+06	1	5
3.12888	49	1	2	LastDelay	0	0	1	9
3.12888	49	1	2	FullDelay	0	0	1	9
3.19171	53	1	6	LastDelay	0.106768	106768	1	5
3.19171	53	1	6	FullDelay	0.106768	106768	1	5
3.33402	65	1	2	LastDelay	0.0602237	60223.7	1	4
3.33402	65	1	2	FullDelay	0.0602237	60223.7	1	4
3.33715	53	1	2	LastDelay	1.05221	1.05221e+06	1	5
3.33715	53	1	2	FullDelay	1.05221	1.05221e+06	1	5
3.41233	61	1	3	LastDelay	0.506881	506881	1	4
3.41233	61	1	3	FullDelay	0.506881	506881	1	4
3.44155	49	1	3	LastDelay	0.112664	112664	1	7
3.44155	49	1	3	FullDelay	0.112664	112664	1	7
3.45493	45	1	11	LastDelay	0.0501559	50155.9	1	3
3.45493	45	1	11	FullDelay	0.0501559	50155.9	1	3
3.46732	69	1	4	LastDelay	0.0785416	78541.6	1	11
3.46732	69	1	4	FullDelay	0.0785416	78541.6	1	11
3.4738	65	1	3	LastDelay	0	0	1	5
3.4738	65	1	3	FullDelay	0	0	1	5
3.52328	53	1	8	LastDelay	0.0383445	38344.5	1	4
3.52328	53	1	8	FullDelay	0.0383445	38344.5	1	4
3.58996	61	1	6	LastDelay	0.0845146	84514.6	1	4
3.58996	61	1	6	FullDelay	0.0845146	84514.6	1	4
3.65285	45	1	12	LastDelay	0.0480699	48069.9	1	3
3.65285	45	1	12	FullDelay	0.0480699	48069.9	1	3
3.72126	65	1	4	LastDelay	0.0474678	47467.8	1	3
3.72126	65	1	4	FullDelay	0.0474678	47467.8	1	3
3.72437	53	1	4	LastDelay	1.03943	1.03943e+06	1	4
3.72437	53	1	4	FullDelay	1.03943	1.03943e+06	1	4
3.7515	53	1	9	LastDelay	0.0665675	66567.5	1	5
3.7515	53	1	9	FullDelay	0.0665675	66567.5	1	5
3.82532	69	1	6	LastDelay	0.036539	36539	1	9
3.82532	69	1	6	FullDelay	0.036539	36539	1	9
3.84408	45	1	13	LastDelay	0.0393077	39307.7	1	3
3.84408	45	1	13	FullDelay	0.0393077	39307.7	1	3
3.92713	53	1	10	LastDelay	0.0421893	42189.3	1	5
3.92713	53	1	10	FullDelay	0.0421893	42189.3	1	5
3.92888	49	1	6	LastDelay	0	0	1	7
3.92888	49	1	6	FullDelay	0	0	1	7
3.9558	61	1	8	LastDelay	0.0503576	50357.6	1	3
3.9558	61	1	8	FullDelay	0.0503576	50357.6	1	3
4.00832	45	1	8	LastDelay	0.00354124	3541.24	1	4
4.00832	45	1	8	FullDelay	1.20354	1.20354e+06	2	4
4.0738	65	1	6	LastDelay	0	0	1	4
4.0738	65	1	6	FullDelay	0	0	1	4
4.12982	53	1	11	LastDelay	0.0448852	44885.2	1	5
4.12982	53	1	11	FullDelay	0.0448852	44885.2	1	5
4.16138	61	1	1	LastDelay	0.0559381	55938.1	1	4
4.16138	61	1	1	FullDelay	1.65594	1.65594e+06	2	4
4.1739	49	1	1	LastDelay	0.0450129	45012.9	1	7
4.1739	49	1	1	FullDelay	1.24501	1.24501e+06	2	7
4.24566	45	1	10	LastDelay	0.0408847	40884.7	1	3
4.24566	45	1	10	FullDelay	1.04088	1.04088e+06	2	3
4.38166	53	1	12	LastDelay	0.0967269	96726.9	1	5
4.38166	53	1	12	FullDelay	0.0967269	96726.9	1	5
4.4533	45	1	14	LastDelay	0.0485255	48525.5	1	3
4.4533	45	1	14	FullDelay	0.0485255	48525.5	1	3
4.52427	53	1	13	LastDelay	0.0393288	39328.8	1	4
4.52427	53	1	13	FullDelay	0.0393288	39328.8	1	4
4.54658	69	1	3	LastDelay	0.157795	157795	1	11
4.54658	69	1	3	FullDelay	1.3578	1.3578e+06	2	11
4.63556	69	1	5	LastDelay	0.0467826	46782.6	1	10
4.63556	69	1	5	FullDelay	1.04678	1.04678e+06	2	10
4.64277	45	1	15	LastDelay	0.0379973	37997.3	1	3
4.64277	45	1	15	FullDelay	0.0379973	37997.3	1	3
4.6738	65	1	9	LastDelay	0	0	1	5
4.6738	65	1	9	FullDelay	0	0	1	5
4.71839	61	1	7	LastDelay	1.01294	1.01294e+06	1	8
4.71839	61	1	7	FullDelay	1.01294	1.01294e+06	1	8
4.72888	49	1	8	LastDelay	0	0	1	8
4.72888	49	1	8	FullDelay	0	0	1	8
4.73423	49	1	7	LastDelay	0.205341	205341	1	13
4.73423	49	1	7	FullDelay	0.205341	205341	1	13
4.75479	53	1	14	LastDelay	0.0698492	69849.2	1	4
4.75479	53	1	14	FullDelay	0.0698492	69849.2	1	4
4.84047	45	1	16	LastDelay	0.0356977	35697.7	1	3
4.84047	45	1	16	FullDelay	0.0356977	35697.7	1	3
4.8738	65	1	10	LastDelay	0	0	1	4
4.8738	65	1	10	FullDelay	0	0	1	4
5.02648	61	1	11	LastDelay	0.121031	121031	1	9
5.02648	61	1	11	FullDelay	0.121031	121031	1	9
5.05505	61	1	9	LastDelay	0.549608	549608	1	4
5.05505	61	1	9	FullDelay	0.549608	549608	1	4
5.06433	45	1	17	LastDelay	0.0595514	59551.4	1	3
5.06433	45	1	17	FullDelay	0.0595514	59551.4	1	3
5.0738	65	1	11	LastDelay	0	0	1	4
5.0738	65	1	11	FullDelay	0	0	1	4
5.0895	49	1	9	LastDelay	0.160619	160619	1	10
5.0895	49	1	9	FullDelay	0.160619	160619	1	10
5.16923	61	1	12	LastDelay	0.0637852	63785.2	1	5
5.16923	61	1	12	FullDelay	0.0637852	63785.2	1	5
5.18878	69	1	10	LastDelay	0	0	1	13
5.18878	69	1	10	FullDelay	0	0	1	13
5.21552	61	1	10	LastDelay	0.510074	510074	1	4
5.21552	61	1	10	FullDelay	0.510074	510074	1	4
5.22797	49	1	10	LastDelay	0.0990834	99083.4	1	7
5.22797	49	1	10	FullDelay	0.0990834	99083.4	1	7
5.26291	45	1	18	LastDelay	0.0581346	58134.6	1	4
5.26291	45	1	18	FullDelay	0.0581346	58134.6	1	4
5.2738	65	1	12	LastDelay	0	0	1	3
5.2738	65	1	12	FullDelay	0	0	1	3
5.32888	49	1	11	LastDelay	0	0	1	11
5.32888	49	1	11	FullDelay	0	0	1	11
5.33832	57	1	11	LastDelay	0.124186	124186	1	14
5.33832	57	1	11	FullDelay	0.124186	124186	1	14
5.36301	53	1	17	LastDelay	0.0780757	78075.7	1	3
5.36301	53	1	17	FullDelay	0.0780757	78075.7	1	3
5.38878	69	1	11	LastDelay	0	0	1	11
5.38878	69	1	11	FullDelay	0	0	1	11
5.40653	61	1	13	LastDelay	0.101079	101079	1	4
5.40653	61	1	13	FullDelay	0.101079	101079	1	4
5.42652	57	1	12	LastDelay	0.0123812	12381.2	1	2
5.42652	57	1	12	FullDelay	0.0123812	12381.2	1	2
5.45226	45	1	19	LastDelay	0.0474823	47482.3	1	3
5.45226	45	1	19	FullDelay	0.0474823	47482.3	1	3
5.4738	65	1	13	LastDelay	0	0	1	6
5.4738	65	1	13	FullDelay	0	0	1	6
5.52304	53	1	18	LastDelay	0.0381027	38102.7	1	4
5.52304	53	1	18	FullDelay	0.0381027	38102.7	1	4
5.52888	49	1	12	LastDelay	0	0	1	8
5.52888	49	1	12	FullDelay	0	0	1	8
5.63001	57	1	13	LastDelay	0.0158759	15875.9	1	2
5.63001	57	1	13	FullDelay	0.0158759	15875.9	1	2
5.65067	45	1	20	LastDelay	0.0458987	45898.7	1	4
5.65067	45	1	20	FullDelay	0.0458987	45898.7	1	4
5.66822	69	1	12	LastDelay	0.0794403	79440.3	1	10
5.66822	69	1	12	FullDelay	0.0794403	79440.3	1	10
5.6738	65	1	14	LastDelay	0	0	1	4
5.6738	65	1	14	FullDelay	0	0	1	4
5.73244	49	1	13	LastDelay	0.00355442	3554.42	1	8
5.73244	49	1	13	FullDelay	0.00355442	3554.42	1	8
5.73755	53	1	19	LastDelay	0.0526097	52609.7	1	4
5.73755	53	1	19	FullDelay	0.0526097	52609.7	1	4
5.82923	69	1	13	LastDelay	0.0404478	40447.8	1	10
5.82923	69	1	13	FullDelay	0.0404478	40447.8	1	10
5.83026	57	1	14	LastDelay	0.0161219	16121.9	1	2
5.83026	57	1	14	FullDelay	0.0161219	16121.9	1	2
5.86062	45	1	21	LastDelay	0.0558393	55839.3	1	3
5.86062	45	1	21	FullDelay	0.0558393	55839.3	1	3
5.91296	65	1	15	LastDelay	0.0391594	39159.4	1	4
5.91296	65	1	15	FullDelay	0.0391594	39159.4	1	4
5.91296	53	1	15	LastDelay	1.02802	1.02802e+06	1	4
5.91296	53	1	15	FullDelay	1.02802	1.02802e+06	1	4
5.96908	61	1	16	LastDelay	0.0636295	63629.5	1	4
5.96908	61	1	16	FullDelay	0.0636295	63629.5	1	4
6.02121	69	1	14	LastDelay	0.0324249	32424.9	1	3
6.02121	69	1	14	FullDelay	0.0324249	32424.9	1	3
6.02592	57	1	0	LastDelay	0.0117805	11780.5	1	2
6.02592	57	1	0	FullDelay	3.41178	3.41178e+06	3	2
6.04624	45	1	22	LastDelay	0.0414615	41461.5	1	4
6.04624	45	1	22	FullDelay	0.0414615	41461.5	1	4
6.12151	65	1	5	LastDelay	0.0477156	47715.6	1	4
6.12151	65	1	5	FullDelay	2.24772	2.24772e+06	2	4
6.12151	53	1	5	LastDelay	0.0365754	36575.4	1	4
6.12151	53	1	5	FullDelay	3.23658	3.23658e+06	2	4
6.19302	49	1	4	LastDelay	0.0641313	64131.3	1	7
6.19302	49	1	4	FullDelay	2.66413	2.66413e+06	3	7
6.22114	61	1	4	LastDelay	0.115689	115689	1	12
6.22114	61	1	4	FullDelay	3.11569	3.11569e+06	3	12
6.2288	57	1	1	LastDelay	0.0146634	14663.4	1	2
6.2288	57	1	1	FullDelay	3.41466	3.41466e+06	3	2
6.22883	69	1	1	LastDelay	0.0400446	40044.6	1	3
6.22883	69	1	1	FullDelay	3.44004	3.44004e+06	3	3
6.36449	45	1	23	LastDelay	0.159711	159711	1	3
6.36449	45	1	23	FullDelay	0.159711	159711	1	3
6.37147	61	1	5	LastDelay	0.0660253	66025.3	1	4
6.37147	61	1	5	FullDelay	3.06603	3.06603e+06	2	4
6.39338	49	1	5	LastDelay	0.0644984	64498.4	1	9
6.39338	49	1	5	FullDelay	2.6645	2.6645e+06	2	9
6.42941	57	1	2	LastDelay	0.0152781	15278.1	1	2
6.42941	57	1	2	FullDelay	3.41528	3.41528e+06	2	2
6.44573	69	1	7	LastDelay	0.0569519	56951.9	1	3
6.44573	69	1	7	FullDelay	2.45695	2.45695e+06	2	3
6.4582	45	1	24	LastDelay	0.0534276	53427.6	1	4
6.4582	45	1	24	FullDelay	0.0534276	53427.6	1	4
6.47731	65	1	8	LastDelay	0.00351551	3515.51	1	3
6.47731	65	1	8	FullDelay	2.00352	2.00352e+06	2	3
6.53243	53	1	21	LastDelay	0.0474886	47488.6	1	4
6.53243	53	1	21	FullDelay	0.0474886	47488.6	1	4
6.63174	61	1	17	LastDelay	0.126297	126297	1	6
6.63174	61	1	17	FullDelay	0.126297	126297	1	6
6.66138	57	1	3	LastDelay	0.0472453	47245.3	1	14
6.66138	57	1	3	FullDelay	3.44725	3.44725e+06	2	14
6.66605	45	1	25	LastDelay	0.0612728	61272.8	1	4
6.66605	45	1	25	FullDelay	0.0612728	61272.8	1	4
6.67702	61	1	15	LastDelay	0.971573	971573	1	6
6.67702	61	1	15	FullDelay	0.971573	971573	1	6
6.68707	65	1	16	LastDelay	0.013269	13269	1	11
6.68707	65	1	16	FullDelay	0.013269	13269	1	11
6.68709	53	1	16	LastDelay	1.60215	1.60215e+06	1	4
6.68709	53	1	16	FullDelay	1.60215	1.60215e+06	1	4
6.70252	49	1	15	LastDelay	0.173631	173631	1	11
6.70252	49	1	15	FullDelay	0.173631	173631	1	11
6.72888	49	1	16	LastDelay	0	0	1	7
6.72888	49	1	16	FullDelay	0	0	1	7
6.77063	53	1	22	LastDelay	0.0856881	85688.1	1	4
6.77063	53	1	22	FullDelay	0.0856881	85688.1	1	4
6.79394	61	1	18	LastDelay	0.0884939	88493.9	1	4
6.79394	61	1	18	FullDelay	0.0884939	88493.9	1	4
